Location,Size_sqft,Num_Rooms,Property_Age_yrs,Amenities,Price_in_Lakhs
Chennai,3908,3,25,Luxury,73886.3
Bangalore,1496,3,20,Standard,20190.66
Kolkata,3943,3,21,Standard,35335.03
Chennai,1812,4,25,Luxury,35047.37
Mumbai,1303,5,6,Luxury,38760.25
Kolkata,2070,2,13,Basic,15662.0
Pune,1180,2,14,Standard,12323.33
Hyderabad,3437,3,20,Luxury,56060.57
Mumbai,3508,3,6,Luxury,104649.2
Hyderabad,2894,1,8,Standard,27935.31
Delhi,3747,5,18,Luxury,97739.89
Pune,753,4,15,Basic,6984.4
Pune,2279,2,7,Standard,24521.06
Mumbai,1596,1,17,Basic,23868.59
Pune,3757,1,26,Basic,33823.91
Chennai,3344,2,22,Basic,31687.5
Pune,3956,4,28,Basic,36079.94
Hyderabad,1843,1,17,Standard,18791.56
Hyderabad,1692,1,29,Basic,13244.75
Kolkata,3718,5,19,Basic,27200.6
Hyderabad,1608,4,6,Luxury,25688.86
Kolkata,2741,1,2,Standard,25959.85
Hyderabad,2373,4,17,Standard,22378.46
Chennai,1557,2,26,Premium,22997.81
Kolkata,3659,3,9,Standard,33771.35
Bangalore,1052,1,6,Standard,13608.61
Delhi,1827,5,16,Premium,35912.99
Mumbai,3559,2,13,Standard,64873.7
Hyderabad,2865,4,23,Standard,27310.94
Pune,3121,2,2,Standard,33608.01
Hyderabad,3079,1,11,Standard,29264.06
Pune,2988,4,27,Premium,39825.12
Delhi,1150,3,12,Standard,17615.36
Delhi,2235,2,1,Standard,34257.53
Delhi,1912,1,2,Premium,37302.04
Pune,3925,5,4,Luxury,70273.01
Hyderabad,2357,4,10,Basic,18975.89
Delhi,956,2,7,Luxury,24078.55
Chennai,2670,2,25,Premium,38204.44
Kolkata,2385,3,22,Basic,18299.26
Pune,3169,3,22,Premium,41779.63
Pune,2381,5,11,Premium,32335.03
Hyderabad,3771,5,6,Standard,36822.43
Pune,3449,1,14,Basic,30431.18
Pune,3851,1,23,Standard,42417.59
Delhi,3894,5,16,Basic,50833.51
Hyderabad,3409,5,3,Premium,40563.99
Delhi,3089,4,28,Premium,60201.62
Kolkata,2231,3,21,Luxury,33739.66
Kolkata,3416,1,24,Basic,25648.0
Delhi,1615,3,12,Standard,25463.38
Kolkata,1948,3,17,Luxury,28757.16
Hyderabad,1115,5,0,Luxury,17934.68
Mumbai,3687,4,15,Luxury,109903.64
Delhi,3439,2,12,Standard,53590.79
Chennai,935,4,9,Luxury,17316.55
Chennai,2382,4,11,Standard,26789.54
Pune,2905,3,29,Luxury,52899.55
Kolkata,1096,4,1,Standard,10417.16
Chennai,1495,1,22,Premium,21599.32
Pune,2807,3,2,Premium,37353.34
Mumbai,1451,1,9,Premium,32486.8
Hyderabad,2287,2,1,Premium,28054.05
Hyderabad,2531,3,29,Premium,30434.36
Hyderabad,3337,2,26,Luxury,54542.66
Chennai,3027,3,22,Luxury,57704.66
Mumbai,2168,5,12,Luxury,65140.02
Chennai,1556,4,12,Standard,17585.84
Kolkata,3338,5,17,Standard,30110.27
Chennai,2236,2,2,Standard,25417.17
Mumbai,1891,4,26,Standard,34387.05
Mumbai,2040,3,6,Premium,46381.35
Kolkata,1791,4,13,Premium,19757.26
Mumbai,1666,1,19,Premium,36811.88
Mumbai,884,4,28,Basic,12335.9
Hyderabad,3044,1,29,Luxury,48945.5
Kolkata,611,4,16,Standard,4947.32
Bangalore,2230,1,28,Standard,28347.55
Bangalore,3973,2,29,Premium,65738.29
Mumbai,3924,5,20,Standard,71878.5
Bangalore,3146,3,11,Standard,41524.66
Bangalore,1353,4,24,Luxury,30181.25
Mumbai,2682,5,15,Premium,60388.41
Bangalore,3374,3,23,Luxury,74173.06
Chennai,3496,3,11,Basic,33672.04
Pune,689,1,14,Basic,6050.86
Kolkata,1375,2,24,Basic,10438.2
Pune,3252,2,9,Premium,44062.35
Mumbai,3617,5,29,Standard,64767.45
Hyderabad,2225,2,24,Premium,27188.02
Kolkata,3669,4,6,Premium,41193.77
Mumbai,1017,2,19,Standard,17922.63
Hyderabad,714,5,4,Luxury,11700.25
Pune,1216,2,0,Basic,10498.77
Mumbai,3867,4,29,Luxury,116017.59
Kolkata,1425,1,16,Basic,10676.94
Kolkata,2249,5,2,Premium,25853.2
Delhi,2116,1,12,Basic,27741.35
Chennai,3746,1,13,Premium,53363.49
Bangalore,1012,1,23,Luxury,22663.38
Hyderabad,1328,3,29,Premium,16622.6
Delhi,3948,3,17,Luxury,102924.41
Bangalore,3668,1,3,Standard,48423.28
Bangalore,3408,5,17,Standard,44331.18
Mumbai,1275,4,29,Standard,22410.94
Bangalore,2492,4,4,Premium,40971.39
Chennai,3104,2,24,Standard,35072.84
Kolkata,3567,5,15,Basic,26661.51
Delhi,2839,3,0,Luxury,73848.32
Bangalore,3386,1,20,Luxury,74748.85
Mumbai,1722,2,13,Basic,25792.25
Chennai,2171,4,14,Premium,31181.0
Pune,1577,3,8,Premium,21323.74
Kolkata,1608,3,14,Luxury,23131.27
Kolkata,2743,1,16,Standard,24211.33
Delhi,2287,4,24,Premium,44520.46
Kolkata,3310,5,23,Premium,36631.15
Bangalore,3861,3,3,Basic,42775.46
Mumbai,636,1,11,Basic,10301.88
Kolkata,2148,5,26,Standard,19938.38
Kolkata,2926,4,25,Premium,32806.28
Pune,2864,3,4,Premium,39413.36
Pune,3514,5,28,Basic,31696.33
Hyderabad,1472,5,4,Premium,17503.46
Chennai,2421,5,10,Luxury,45697.3
Bangalore,1896,3,27,Basic,20697.27
Kolkata,2709,3,5,Standard,24190.41
Kolkata,1195,2,6,Basic,9048.71
Mumbai,2503,4,23,Premium,56394.29
Hyderabad,1328,1,13,Standard,12745.82
Chennai,1965,5,23,Basic,18884.47
Hyderabad,996,2,10,Luxury,16530.32
Delhi,1298,1,29,Luxury,34210.28
Chennai,3690,2,12,Basic,34310.55
Kolkata,2824,3,1,Luxury,41088.54
Kolkata,2235,5,24,Luxury,33990.16
Chennai,995,1,6,Luxury,18220.56
Kolkata,3092,1,19,Standard,27708.12
Bangalore,3904,1,3,Luxury,85303.44
Chennai,675,1,26,Luxury,11913.01
Hyderabad,864,1,7,Luxury,14093.23
Chennai,3102,2,19,Standard,35736.88
Kolkata,2419,5,28,Basic,17850.24
Bangalore,1317,3,21,Premium,20430.48
Bangalore,3382,3,20,Luxury,74126.88
Delhi,1450,3,18,Basic,19042.9
Hyderabad,1990,3,12,Luxury,31100.54
Pune,743,2,13,Standard,8113.58
Pune,1484,4,9,Basic,13351.85
Chennai,3740,5,10,Standard,42930.65
Delhi,3770,1,1,Luxury,98081.29
Mumbai,995,4,24,Luxury,29359.47
Chennai,3696,3,25,Standard,42726.19
Delhi,3595,4,8,Premium,70027.24
Hyderabad,3538,5,16,Standard,33953.15
Hyderabad,2092,1,25,Luxury,32994.87
Hyderabad,3822,1,2,Standard,36470.56
Hyderabad,1767,5,23,Premium,20760.1
Hyderabad,3216,5,5,Standard,30794.63
Delhi,1662,3,4,Premium,33268.85
Delhi,2756,1,4,Premium,53056.05
Bangalore,1665,4,21,Standard,21168.72
Pune,1809,2,14,Standard,20269.79
Kolkata,3582,2,22,Basic,26753.34
Hyderabad,3045,5,16,Luxury,48387.46
Mumbai,3894,3,8,Premium,88136.95
Kolkata,1233,2,2,Basic,8947.69
Delhi,1756,1,19,Standard,28299.1
Mumbai,3834,5,25,Luxury,115356.46
Mumbai,1838,4,16,Basic,27326.04
Mumbai,1332,5,28,Premium,31044.65
Bangalore,834,4,26,Basic,8866.14
Delhi,3305,5,9,Premium,64824.05
Mumbai,1350,5,2,Standard,24458.65
Hyderabad,3235,5,17,Luxury,52412.37
Chennai,3680,4,17,Luxury,70700.26
Mumbai,3745,4,29,Luxury,112359.5
Bangalore,1553,5,16,Standard,20124.89
Kolkata,3139,2,23,Premium,35536.24
Delhi,3560,3,2,Standard,55202.14
Bangalore,3924,3,2,Luxury,87339.69
Mumbai,3901,3,5,Standard,70289.77
Delhi,2142,4,12,Standard,33234.54
Chennai,1797,4,23,Standard,20574.64
Mumbai,2276,2,28,Premium,50526.44
Bangalore,1791,3,14,Basic,19214.19
Pune,2817,3,24,Basic,25947.21
Hyderabad,2016,5,8,Standard,19031.15
Kolkata,3593,4,3,Basic,26430.54
Bangalore,3442,3,13,Basic,38129.83
Delhi,3281,2,4,Standard,51778.45
Mumbai,1817,2,1,Standard,33068.98
Hyderabad,2140,3,10,Luxury,34739.02
Mumbai,2676,4,8,Basic,39765.6
Delhi,3836,2,23,Premium,74083.59
Mumbai,2045,5,2,Standard,37569.67
Pune,2986,2,26,Luxury,53577.66
Hyderabad,2119,1,27,Premium,25291.08
Hyderabad,1988,1,28,Basic,16556.1
Delhi,2456,4,8,Luxury,64138.12
Kolkata,1965,3,2,Standard,17917.94
Pune,1099,4,24,Premium,15915.0
Bangalore,2280,4,1,Standard,29781.74
Mumbai,1110,4,11,Basic,17116.42
Chennai,3998,4,9,Premium,57003.51
Mumbai,816,5,8,Basic,12380.3
Mumbai,1924,5,14,Basic,29627.23
Bangalore,1755,2,7,Luxury,38864.42
Mumbai,2427,1,24,Standard,43945.15
Pune,3741,4,4,Premium,51045.75
Pune,3923,2,10,Basic,35123.52
Hyderabad,2410,1,26,Basic,18849.4
Delhi,3092,3,1,Premium,59777.1
Kolkata,3523,5,23,Basic,25437.82
Chennai,1805,1,27,Luxury,35311.6
Mumbai,2814,3,14,Luxury,83867.4
Mumbai,690,1,5,Luxury,20588.87
Bangalore,1313,5,7,Luxury,28754.09
Delhi,2481,5,26,Basic,32403.7
Pune,638,2,4,Premium,9022.87
Chennai,3797,4,15,Premium,54537.99
Hyderabad,772,1,25,Premium,8961.96
Pune,1252,1,17,Premium,16811.94
Delhi,1353,3,5,Standard,21251.59
Kolkata,1843,5,4,Premium,20617.4
Hyderabad,1681,1,27,Standard,16929.77
Kolkata,2283,5,15,Standard,20794.99
Bangalore,3123,1,12,Luxury,69069.44
Bangalore,1055,2,27,Standard,14247.94
Mumbai,1428,4,4,Basic,22012.74
Kolkata,1494,1,12,Standard,13532.51
Delhi,1984,5,16,Luxury,50937.58
Chennai,2558,2,17,Standard,29356.54
Hyderabad,3672,1,7,Basic,29048.82
Pune,3034,3,12,Basic,27041.69
Delhi,2596,4,29,Basic,34034.68
Delhi,2995,1,28,Luxury,78477.14
Bangalore,789,2,18,Luxury,17363.64
Kolkata,1104,3,25,Premium,12567.92
Mumbai,1814,2,2,Luxury,55274.11
Mumbai,2131,2,23,Basic,32077.88
Hyderabad,1423,3,7,Basic,12687.34
Bangalore,1528,2,1,Luxury,33902.25
Delhi,1533,3,7,Standard,23036.92
Chennai,1740,1,26,Luxury,33425.67
Bangalore,733,3,12,Luxury,16316.58
Hyderabad,2705,3,12,Basic,22284.88
Hyderabad,1284,4,0,Premium,15752.59
Bangalore,3319,3,5,Basic,36443.27
Hyderabad,2820,3,23,Premium,33222.35
Bangalore,2452,1,18,Basic,26860.49
Pune,1414,4,15,Luxury,25027.24
Bangalore,1772,5,7,Basic,19208.24
Kolkata,679,1,27,Basic,5375.29
Bangalore,3533,1,0,Basic,39699.95
Hyderabad,3884,5,26,Luxury,62338.34
Kolkata,802,3,26,Luxury,11425.06
Hyderabad,3411,2,15,Luxury,54794.8
Mumbai,1852,4,8,Luxury,56162.32
Mumbai,2299,2,12,Premium,51420.61
Kolkata,1850,5,10,Premium,20750.49
Pune,2282,1,12,Standard,24648.94
Mumbai,2155,1,24,Luxury,64247.55
Bangalore,2694,4,20,Premium,44773.14
Hyderabad,1856,1,9,Basic,14785.03
Mumbai,3976,1,3,Luxury,119490.27
Mumbai,2149,4,26,Standard,38233.25
Pune,1766,4,5,Standard,18859.57
Kolkata,1996,5,27,Standard,18321.69
Kolkata,3930,1,6,Basic,29287.58
Delhi,3303,1,4,Premium,65271.98
Pune,1070,5,10,Basic,9435.18
Bangalore,3618,3,12,Luxury,79708.34
Kolkata,1635,3,25,Standard,15174.8
Hyderabad,1953,3,24,Basic,14908.82
Pune,3383,5,18,Basic,29567.6
Mumbai,3431,1,22,Premium,76425.67
Hyderabad,1567,5,9,Premium,19440.79
Hyderabad,957,5,9,Standard,8916.77
Mumbai,3619,3,10,Basic,55565.1
Pune,1267,2,20,Basic,11114.88
Mumbai,972,1,29,Premium,21949.78
Delhi,1631,3,6,Basic,21977.05
Hyderabad,1745,2,17,Basic,14958.55
Chennai,1971,2,3,Basic,19757.75
Chennai,3323,4,1,Premium,47964.43
Bangalore,689,1,13,Standard,9602.33
Kolkata,3345,2,12,Luxury,50469.26
Mumbai,3987,3,28,Standard,72147.18
Mumbai,3849,4,11,Luxury,115196.91
Bangalore,1139,1,6,Basic,12118.9
Bangalore,3379,5,1,Standard,44610.61
Bangalore,1468,3,12,Luxury,32210.91
Hyderabad,640,2,13,Premium,7450.89
Delhi,1339,2,26,Premium,26449.69
Mumbai,2546,3,16,Standard,46303.65
Hyderabad,3149,2,8,Standard,30274.6
Bangalore,3606,4,16,Basic,40404.77
Mumbai,3816,1,7,Standard,68115.66
Hyderabad,1824,4,1,Basic,14502.67
Delhi,1528,2,27,Basic,19496.09
Hyderabad,2636,5,23,Premium,30697.23
Delhi,3108,1,12,Premium,60560.66
Bangalore,3379,1,2,Luxury,74278.13
Delhi,3399,3,15,Premium,67035.72
Mumbai,1524,3,5,Premium,34608.91
Bangalore,3556,5,18,Standard,46428.11
Mumbai,2181,1,29,Premium,49987.05
Chennai,3924,5,6,Luxury,75173.52
Pune,989,3,9,Standard,10973.75
Delhi,2217,3,8,Luxury,57530.76
Pune,3530,1,1,Premium,47176.78
Pune,855,4,27,Luxury,15198.4
Delhi,1308,2,27,Standard,20939.67
Bangalore,2438,3,14,Basic,27759.29
Chennai,2544,3,29,Luxury,49099.12
Mumbai,3097,4,4,Luxury,92671.58
Hyderabad,609,4,28,Standard,5280.59
Mumbai,3471,5,21,Standard,62547.94
Hyderabad,1397,5,3,Luxury,21476.28
Mumbai,3913,2,19,Premium,88198.58
Delhi,3922,2,3,Luxury,101900.7
Chennai,1476,1,17,Standard,16586.88
Hyderabad,1628,5,3,Basic,12235.15
Kolkata,3790,3,26,Basic,28674.8
Bangalore,1615,5,16,Premium,26383.15
Mumbai,2424,3,11,Luxury,72135.54
Mumbai,973,4,21,Basic,13156.37
Hyderabad,3736,5,16,Luxury,59764.24
Bangalore,2793,4,9,Standard,37757.23
Bangalore,823,2,21,Basic,9877.13
Delhi,1862,2,0,Premium,36084.45
Kolkata,2824,1,21,Standard,25106.39
Delhi,2402,5,25,Premium,47070.89
Delhi,1452,4,23,Standard,22148.51
Delhi,3953,3,26,Basic,51532.9
Delhi,662,2,17,Premium,13287.54
Delhi,1840,2,17,Premium,36488.97
Chennai,3474,3,13,Standard,39553.02
Bangalore,3442,4,14,Premium,56692.16
Delhi,1288,4,28,Standard,19647.81
Bangalore,2084,5,11,Standard,27099.86
Bangalore,2233,5,3,Standard,29370.86
Pune,2752,1,26,Standard,29894.28
Chennai,3770,2,2,Basic,36274.79
Delhi,1110,5,19,Standard,16914.91
Mumbai,984,4,28,Luxury,30260.34
Hyderabad,1004,3,11,Premium,11912.94
Kolkata,3470,4,6,Luxury,52044.32
Mumbai,1117,2,28,Basic,16371.39
Chennai,1075,4,10,Luxury,19215.88
Hyderabad,2600,1,0,Premium,31644.02
Chennai,3356,2,5,Luxury,64133.92
Bangalore,2268,3,14,Basic,24806.34
Hyderabad,2493,1,14,Standard,23961.3
Bangalore,3418,2,18,Luxury,75448.97
Mumbai,2060,3,10,Basic,30119.73
Mumbai,3694,1,25,Basic,55134.97
Hyderabad,3644,1,22,Premium,44116.13
Hyderabad,3324,2,25,Premium,39252.36
Delhi,1313,5,1,Luxury,34294.28
Chennai,682,1,13,Standard,7092.01
Delhi,1768,1,1,Basic,23218.71
Chennai,3756,3,28,Luxury,71338.18
Delhi,3749,4,3,Basic,47935.93
Bangalore,3104,2,16,Basic,34722.37
Hyderabad,2501,2,2,Standard,23645.3
Mumbai,2648,5,12,Standard,47262.87
Chennai,650,5,8,Luxury,12456.28
Chennai,1284,2,6,Standard,15212.92
Mumbai,1316,5,14,Standard,23183.09
Delhi,2069,3,22,Luxury,53819.84
Chennai,1048,2,28,Standard,12151.61
Kolkata,1480,5,28,Premium,16992.55
Bangalore,1087,2,10,Basic,12044.22
Hyderabad,2423,4,19,Basic,19198.99
Mumbai,2681,1,1,Basic,39802.7
Hyderabad,2742,2,14,Basic,21976.07
Kolkata,3743,1,13,Luxury,55604.43
Chennai,2174,5,19,Basic,19192.82
Chennai,2801,1,21,Basic,26819.28
Kolkata,849,2,10,Basic,6818.47
Mumbai,1273,4,26,Basic,17908.53
Bangalore,1037,5,2,Premium,16614.63
Pune,2765,2,16,Basic,25190.58
Mumbai,1370,5,29,Premium,31849.25
Pune,3977,3,11,Luxury,71596.9
Kolkata,867,1,23,Standard,7429.5
Delhi,2584,3,27,Basic,33493.05
Pune,1677,2,28,Standard,18789.04
Bangalore,835,4,20,Standard,10697.02
Delhi,988,5,14,Luxury,25291.4
Pune,3637,1,15,Standard,39032.73
Kolkata,1362,5,4,Premium,14853.84
Delhi,2448,2,26,Standard,38241.14
Kolkata,3048,5,19,Standard,28244.84
Pune,1223,1,5,Standard,13369.44
Kolkata,3414,2,18,Basic,25473.82
Bangalore,3974,5,24,Basic,43566.09
Pune,3566,4,4,Premium,47365.4
Pune,3878,2,2,Premium,52797.55
Pune,1852,2,26,Basic,16620.08
Mumbai,3500,4,0,Premium,78667.76
Mumbai,1177,3,25,Basic,19245.05
Mumbai,2722,1,27,Luxury,81797.88
Bangalore,1034,3,5,Standard,13276.4
Delhi,2750,5,14,Standard,42689.82
Kolkata,1363,4,1,Premium,15915.47
Chennai,3385,3,28,Basic,32206.14
Pune,3453,2,2,Basic,30360.86
Kolkata,1929,5,16,Premium,22162.86
Pune,2745,5,24,Basic,24368.93
Bangalore,3445,3,23,Luxury,76721.15
Pune,1958,3,11,Standard,21686.92
Mumbai,3506,4,17,Premium,78660.84
Chennai,3082,1,14,Premium,44554.01
Hyderabad,1046,3,11,Basic,8402.43
Pune,2617,3,15,Premium,35754.39
Kolkata,1931,2,26,Luxury,29198.37
Mumbai,848,5,7,Basic,12303.32
Hyderabad,765,1,27,Basic,5786.73
Chennai,3631,2,13,Basic,35006.98
Hyderabad,1958,4,24,Basic,15492.61
Mumbai,1619,4,16,Luxury,48368.18
Delhi,1141,3,28,Basic,14347.44
Delhi,1358,3,20,Premium,26688.8
Hyderabad,3777,4,7,Luxury,61467.76
Bangalore,2728,3,14,Standard,35474.83
Kolkata,2780,1,26,Standard,25021.11
Kolkata,1396,3,13,Premium,16410.61
Hyderabad,3547,5,17,Premium,42525.68
Pune,737,3,19,Luxury,13488.69
Pune,2831,2,6,Standard,30044.6
Kolkata,1953,1,2,Standard,17792.15
Kolkata,3432,2,28,Standard,30784.43
Delhi,2475,2,11,Standard,39101.36
Bangalore,3631,5,20,Standard,48522.89
Mumbai,668,1,23,Basic,11305.28
Pune,3193,1,27,Premium,43383.82
Kolkata,2700,1,25,Basic,20402.4
Delhi,2073,1,2,Standard,32436.99
Chennai,804,1,19,Luxury,15091.92
Delhi,2773,5,13,Luxury,72270.74
Pune,642,3,14,Standard,6784.9
Pune,2506,2,24,Standard,27141.03
Delhi,2758,1,29,Luxury,72354.3
Mumbai,1360,3,13,Basic,19896.23
Hyderabad,3854,3,6,Basic,31404.94
Pune,3495,2,16,Standard,38400.56
Delhi,2742,5,29,Basic,35582.47
